folder,inner_folder,method,mean,std
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND,112.7,30.49089596653574
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD,,
15-taxon,1000gene-1000bp/estimated-genetrees,MP,450.2,6.196773353931866
15-taxon,1000gene-1000bp/estimated-genetrees,MV,450.2,6.196773353931866
15-taxon,1000gene-1000bp/estimated-genetrees,OG,450.2,6.196773353931866
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,219.7,20.199284915835786
15-taxon,1000gene-1000bp/estimated-genetrees,RD,342.0,13.021349989749739
15-taxon,1000gene-100bp/estimated-genetrees,MP,387.0,17.53092505640628
15-taxon,1000gene-100bp/estimated-genetrees,MV,387.0,17.53092505640628
15-taxon,1000gene-100bp/estimated-genetrees,OG,387.0,17.53092505640628
15-taxon,1000gene-100bp/estimated-genetrees,RAND,213.1,4.094712037087185
15-taxon,1000gene-100bp/estimated-genetrees,RD,344.9,16.49545391918635
15-taxon,1000gene-true,MP,300.0,0.0
15-taxon,1000gene-true,MV,256.8,15.178932768808222
15-taxon,1000gene-true,OG,455.0,0.0
15-taxon,1000gene-true,RAND,227.0,23.678400846904058
15-taxon,100gene-1000bp/estimated-genetrees,MP,438.0,18.88562063228706
15-taxon,100gene-1000bp/estimated-genetrees,MV,438.0,18.88562063228706
15-taxon,100gene-1000bp/estimated-genetrees,OG,438.0,18.88562063228706
15-taxon,100gene-1000bp/estimated-genetrees,RAND,231.3,46.7619265832555
15-taxon,100gene-1000bp/estimated-genetrees,RD,338.5,26.479551859249177
15-taxon,100gene-100bp/estimated-genetrees,MP,372.8,48.48779915263908
15-taxon,100gene-100bp/estimated-genetrees,MV,372.8,48.48779915263908
15-taxon,100gene-100bp/estimated-genetrees,OG,372.8,48.48779915263908
15-taxon,100gene-100bp/estimated-genetrees,RAND,214.1,43.34474208790112
15-taxon,100gene-100bp/estimated-genetrees,RD,338.625,27.42229280817239
15-taxon,100gene-true,MP,295.1,13.576532039597673
15-taxon,100gene-true,MV,262.2,20.247359224243432
15-taxon,100gene-true,OG,455.0,0.0
15-taxon,100gene-true,RAND,216.9,43.940490059473234
37-taxon,estimated-genetrees/0.5X-200-500,MP,7730.4,36.56054819351764
37-taxon,estimated-genetrees/0.5X-200-500,MV,7725.3,53.04923234724126
37-taxon,estimated-genetrees/0.5X-200-500,OG,7725.55,57.86142702044349
37-taxon,estimated-genetrees/0.5X-200-500,RAND,5336.75,17.04753416341016
37-taxon,estimated-genetrees/0.5X-200-500,RD,5321.1,19.240582111776256
37-taxon,estimated-genetrees/1X-200-1000,MP,7757.3,19.96602377197736
37-taxon,estimated-genetrees/1X-200-1000,MV,7757.3,19.96602377197736
37-taxon,estimated-genetrees/1X-200-1000,OG,7756.9,19.77744595292949
37-taxon,estimated-genetrees/1X-200-1000,RAND,5345.8,13.839683598451971
37-taxon,estimated-genetrees/1X-200-1000,RD,4410.3,707.4662052557333
37-taxon,estimated-genetrees/1X-200-500,MP,7745.85,30.623821137353566
37-taxon,estimated-genetrees/1X-200-500,MV,7737.45,48.98385878075175
37-taxon,estimated-genetrees/1X-200-500,OG,7736.95,33.589589552654445
37-taxon,estimated-genetrees/1X-200-500,RAND,5338.65,12.465848082704015
37-taxon,estimated-genetrees/1X-200-500,RD,4614.4,739.3058906839578
37-taxon,estimated-genetrees/1X-400-1000,MP,6764.454545454545,725.2361496280179
37-taxon,estimated-genetrees/1X-400-1000,MV,6764.454545454545,725.2361496280179
37-taxon,estimated-genetrees/1X-400-500,MP,6730.909090909091,860.2495515308863
37-taxon,estimated-genetrees/1X-400-500,MV,6733.909090909091,862.7741830334811
37-taxon,estimated-genetrees/1X-800-1000,MP,7770.0,0.0
37-taxon,estimated-genetrees/1X-800-1000,MV,7770.0,0.0
37-taxon,estimated-genetrees/1X-800-1000,OG,7770.0,0.0
37-taxon,estimated-genetrees/1X-800-1000,RAND,5351.3,11.55353671073564
37-taxon,estimated-genetrees/1X-800-1000,RD,4271.15,641.8690040974503
37-taxon,estimated-genetrees/1X-800-500,MP,7768.75,2.5520889276702254
37-taxon,estimated-genetrees/1X-800-500,MV,7768.75,2.5520889276702254
37-taxon,estimated-genetrees/1X-800-500,OG,7768.75,2.5520889276702254
37-taxon,estimated-genetrees/1X-800-500,RAND,5349.5,12.019720637790456
37-taxon,estimated-genetrees/1X-800-500,RD,4627.7,735.3784632490446
37-taxon,estimated-genetrees/2X-200-500,MP,7756.9,23.530271656113996
37-taxon,estimated-genetrees/2X-200-500,MV,7766.8,3.860733499983498
37-taxon,estimated-genetrees/2X-200-500,OG,7745.2,42.69056348335419
37-taxon,estimated-genetrees/2X-200-500,RAND,5350.05,11.887521099654784
37-taxon,estimated-genetrees/2X-200-500,RD,5341.95,17.96626956564067
48-taxon,estimated-genetrees/0.5X-1000-500,MP,12582.42857142857,137.79556976775072
48-taxon,estimated-genetrees/0.5X-1000-500,MV,10734.142857142857,85.20060361959219
48-taxon,estimated-genetrees/0.5X-1000-500,OG,15387.75,599.4067132546456
48-taxon,estimated-genetrees/0.5X-1000-500,RAND,9411.75,414.2320573886346
48-taxon,estimated-genetrees/0.5X-1000-500,RD,7767.0,1252.673393817777
48-taxon,estimated-genetrees/1X-100-500,OG,13486.75,627.7413878341939
48-taxon,estimated-genetrees/1X-100-500,RAND,9202.7,336.39811940146495
48-taxon,estimated-genetrees/1X-100-500,RD,8403.45,1016.806583843441
48-taxon,estimated-genetrees/1X-1000-500,OG,16017.4375,634.1690593472163
48-taxon,estimated-genetrees/1X-1000-500,RAND,9203.9375,122.22409405132352
48-taxon,estimated-genetrees/1X-1000-500,RD,8360.1,833.3484707397083
48-taxon,estimated-genetrees/1X-25-500,OG,13200.75,521.0588283788879
48-taxon,estimated-genetrees/1X-25-500,RAND,9367.2,1006.5484326988051
48-taxon,estimated-genetrees/1X-25-500,RD,7940.1,1709.6230086129947
48-taxon,estimated-genetrees/1X-50-500,OG,13331.15,497.3394768798851
48-taxon,estimated-genetrees/1X-50-500,RAND,9471.2,852.186883383291
48-taxon,estimated-genetrees/1X-50-500,RD,8341.0,1262.282185483687
48-taxon,estimated-genetrees/1X-500-500,OG,15490.15,542.9681850716485
48-taxon,estimated-genetrees/1X-500-500,RAND,9254.4,325.55158051981164
48-taxon,estimated-genetrees/1X-500-500,RD,8453.3,814.3311171882433
48-taxon,estimated-genetrees/2X-1000-500,OG,16455.5,419.51845828533635
48-taxon,estimated-genetrees/2X-1000-500,RAND,9226.1,171.98864711614615
48-taxon,estimated-genetrees/2X-1000-500,RD,8728.35,72.88294508463896
