folder,inner_folder,method,R,rf-score
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 7, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 9, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 9, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 9, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 9, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 10, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 10, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 10, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 10, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 11, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 11, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 11, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 11, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 12, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 12, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 12, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 12, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 13, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 13, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 13, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 13, 0.5
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 14, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 14, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 14, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 14, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 15, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 15, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 15, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 15, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 16, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 16, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 16, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 16, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 17, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 17, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 17, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 17, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 18, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 18, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 18, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 18, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 19, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 19, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 19, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 19, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MP, 20, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-MV, 20, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-OG, 20, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,stelar-RAND, 20, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 1, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 1, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 1, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 1, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 2, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 2, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 2, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 2, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 3, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 3, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 3, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 3, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 4, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 4, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 4, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 4, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 5, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 5, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 5, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 5, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 6, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 6, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 6, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 6, 0.5
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 7, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 7, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 7, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 7, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 8, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 9, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 9, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 9, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 9, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 10, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 10, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 10, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 10, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 11, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 11, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 11, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 11, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 12, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 12, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 12, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 12, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 13, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 13, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 13, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 13, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 14, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 14, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 14, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 14, 0.5
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 15, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 15, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 15, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 15, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 16, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 16, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 16, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 16, 0.375
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 17, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 17, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 17, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 17, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 18, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 18, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 18, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 18, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 19, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 19, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 19, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 19, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MP, 20, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-MV, 20, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-OG, 20, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,stelar-RAND, 20, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 1, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 1, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 1, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 1, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 2, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 2, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 2, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 2, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 3, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 3, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 3, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 3, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 4, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 4, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 4, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 4, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 5, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 5, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 5, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 5, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 6, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 6, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 6, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 6, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 7, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 7, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 7, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 7, 0.25
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 8, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 9, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 9, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 9, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 9, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 10, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 10, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 10, 0.125
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-RAND, 10, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MP, 11, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-MV, 11, 0.0
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,stelar-OG, 11, 0.0
