folder,inner_folder,method,R,triplet-score
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 4,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 5,165
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 5,136
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 5,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 5,141
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 5,141
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 6,165
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 6,111
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 6,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 6,141
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 6,141
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 7,160
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 7,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 7,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 7,136
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 7,136
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 8,164
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 8,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 8,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 8,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 8,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 9,165
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 9,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 9,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 9,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 9,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 10,160
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 10,138
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 10,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 10,136
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 10,136
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 11,161
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 11,134
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 11,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 11,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 11,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 12,161
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 12,128
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 12,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 12,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 12,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 13,164
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 13,130
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 13,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 13,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 13,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 14,164
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 14,136
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 14,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 14,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 14,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 15,162
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 15,133
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 15,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 15,138
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 15,138
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 16,161
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 16,134
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 16,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 16,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 16,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 17,164
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 17,130
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 17,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 17,138
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 17,138
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 18,164
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 18,128
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 18,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 18,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 18,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 19,161
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 19,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 19,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 19,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 19,137
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 20,161
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 20,134
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 20,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 20,133
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 20,133
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 1,165
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 1,133
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 1,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 1,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 1,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 2,165
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 2,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 2,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 2,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 2,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 3,165
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 3,139
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 3,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 3,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 3,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 4,164
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 4,137
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 4,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 4,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 4,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 5,165
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 5,136
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 5,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 5,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 5,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 6,164
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 6,99
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 6,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 6,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 6,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 7,163
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 7,135
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 7,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 7,139
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 7,139
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 8,164
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 8,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 8,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 8,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 8,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 9,165
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 9,135
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 9,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 9,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 9,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 10,160
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 10,136
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 10,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 10,136
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 10,136
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 11,164
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 11,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 11,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 11,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 11,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 12,160
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 12,136
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 12,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 12,136
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 12,136
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 13,164
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 13,136
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 13,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 13,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 13,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 14,165
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 14,126
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 14,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 14,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 14,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 15,165
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 15,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 15,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 15,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 15,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 16,162
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 16,133
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 16,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 16,138
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 16,138
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 17,164
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 17,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 17,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 17,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 17,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 18,164
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 18,135
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 18,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 18,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 18,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 19,165
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 19,137
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 19,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 19,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 19,141
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG, 20,164
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND, 20,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD, 20,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP, 20,140
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV, 20,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 1,161
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 1,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 1,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 1,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 1,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 2,165
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 2,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 2,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 2,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 2,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 3,164
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 3,136
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 3,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 3,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 3,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 4,164
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 4,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 4,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 4,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 4,140
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 5,161
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 5,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 5,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 5,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 5,137
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 6,165
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 6,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD, 6,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP, 6,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV, 6,141
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG, 7,164
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND, 7,136
